img_path,label,client
../data/Chest_X-ray/COVID/images/COVID-2448.png,1,0
../data/Chest_X-ray/COVID/images/COVID-3585.png,1,0
../data/Chest_X-ray/COVID/images/COVID-991.png,1,0
../data/Chest_X-ray/COVID/images/COVID-766.png,1,0
../data/Chest_X-ray/Normal/images/Normal-1532.png,0,0
../data/Chest_X-ray/Normal/images/Normal-4085.png,0,0
../data/Chest_X-ray/Normal/images/Normal-3120.png,0,0
../data/Chest_X-ray/Normal/images/Normal-9912.png,0,0
../data/Chest_X-ray/COVID/images/COVID-2143.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2499.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2438.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2321.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2080.png,1,1
../data/Chest_X-ray/COVID/images/COVID-435.png,1,1
../data/Chest_X-ray/COVID/images/COVID-3154.png,1,1
../data/Chest_X-ray/COVID/images/COVID-668.png,1,1
../data/Chest_X-ray/COVID/images/COVID-1580.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2681.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2176.png,1,1
../data/Chest_X-ray/COVID/images/COVID-1641.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2539.png,1,1
../data/Chest_X-ray/COVID/images/COVID-2712.png,1,1
../data/Chest_X-ray/COVID/images/COVID-365.png,1,1
../data/Chest_X-ray/COVID/images/COVID-1028.png,1,1
../data/Chest_X-ray/Normal/images/Normal-8767.png,0,1
../data/Chest_X-ray/Normal/images/Normal-618.png,0,1
../data/Chest_X-ray/Normal/images/Normal-8351.png,0,1
../data/Chest_X-ray/Normal/images/Normal-3477.png,0,1
../data/Chest_X-ray/Normal/images/Normal-9667.png,0,1
../data/Chest_X-ray/Normal/images/Normal-1173.png,0,1
../data/Chest_X-ray/Normal/images/Normal-1452.png,0,1
../data/Chest_X-ray/Normal/images/Normal-8713.png,0,1
../data/Chest_X-ray/Normal/images/Normal-2832.png,0,1
../data/Chest_X-ray/Normal/images/Normal-5310.png,0,1
../data/Chest_X-ray/Normal/images/Normal-3011.png,0,1
../data/Chest_X-ray/Normal/images/Normal-8138.png,0,1
../data/Chest_X-ray/Normal/images/Normal-1074.png,0,1
../data/Chest_X-ray/Normal/images/Normal-926.png,0,1
../data/Chest_X-ray/Normal/images/Normal-8624.png,0,1
../data/Chest_X-ray/Normal/images/Normal-87.png,0,1
../data/Chest_X-ray/COVID/images/COVID-1619.png,1,2
../data/Chest_X-ray/COVID/images/COVID-359.png,1,2
../data/Chest_X-ray/COVID/images/COVID-208.png,1,2
